read,write,map,correspondences,1st_write,1st_same,1st_different,1st_same_len,1st_different_len,1st_congruency,most_congruency_write,most_congruency_same,most_congruency_different,most_congruency_same_len,most_congruency_different_len,most_congruency_congruency
fang,['373'],㕫 㤃㧍㫄䄱䢍䲱仿坊堃妨彷房放方旁旊昉枋汸瓬眆祊纺肪舫芳蚄访趽邡钫防雱髣鲂鴋𥫳𨾔𩲌𪕃,"[{'373': {'same': ['放', '方', '房', '防', '访', '仿', '妨', '芳', '肪', '坊', '纺', '彷', '钫', '㕫', '㤃', '㧍', '䄱', '䢍', '䲱', '旊', '昉', '枋', '汸', '瓬', '眆', '舫', '蚄', '趽', '邡', '髣', '鲂', '鴋', '𥫳', '𨾔', '𩲌', '𪕃'], 'different': ['旁', '㫄', '堃', '祊', '雱']}}]",373,放 方 房 防 访 仿 妨 芳 肪 坊 纺 彷 钫 㕫 㤃 㧍 䄱 䢍 䲱 旊 昉 枋 汸 瓬 眆 舫 蚄 趽 邡 髣 鲂 鴋 𥫳 𨾔 𩲌 𪕃,旁 㫄 堃 祊 雱,36,5,0.8780487804878049,373,放 方 房 防 访 仿 妨 芳 肪 坊 纺 彷 钫 㕫 㤃 㧍 䄱 䢍 䲱 旊 昉 枋 汸 瓬 眆 舫 蚄 趽 邡 髣 鲂 鴋 𥫳 𨾔 𩲌 𪕃,旁 㫄 堃 祊 雱,36,5,0.8780487804878049
fei,['365'],㐟 㫵㹃㻗䠊𰾐䨽䨾䩀俳剕匪厞啡奜婓婔屝徘悱悲扉排斐暃棐棑毴渄猅猆琲痱绯翡腓菲蜚裴裵裶诽軰辈𰺎陫霏非靟餥馡𬴂鲱𨛬,"[{'365': {'same': ['非', '啡', '菲', '匪', '斐', '腓', '扉', '诽', '绯', '翡', '蜚', '鲱', '痱', '悱', '㫵', '㹃', '䠊', '𰾐', '䨽', '䨾', '剕', '厞', '奜', '婓', '婔', '屝', '暃', '棐', '渄', '猆', '裶', '陫', '霏', '靟', '餥', '馡', '𬴂'], 'different': ['排', '悲', '辈', '徘', '裴', '俳', '㐟', '㻗', '䩀', '棑', '毴', '猅', '琲', '裵', '軰', '𰺎', '𨛬']}}]",365,非 啡 菲 匪 斐 腓 扉 诽 绯 翡 蜚 鲱 痱 悱 㫵 㹃 䠊 𰾐 䨽 䨾 剕 厞 奜 婓 婔 屝 暃 棐 渄 猆 裶 陫 霏 靟 餥 馡 𬴂,排 悲 辈 徘 裴 俳 㐟 㻗 䩀 棑 毴 猅 琲 裵 軰 𰺎 𨛬,37,17,0.6851851851851852,365,非 啡 菲 匪 斐 腓 扉 诽 绯 翡 蜚 鲱 痱 悱 㫵 㹃 䠊 𰾐 䨽 䨾 剕 厞 奜 婓 婔 屝 暃 棐 渄 猆 裶 陫 霏 靟 餥 馡 𬴂,排 悲 辈 徘 裴 俳 㐟 㻗 䩀 棑 毴 猅 琲 裵 軰 𰺎 𨛬,37,17,0.6851851851851852
fen,['1020'],㱵 𬏷䒈䩿䴅偾喷坟𪩸愤𰗺𬅫𣸣𰞻𰡞𫅗𪱥𰱟豮贲𮝷𫔁𱀡𱄀𬳟鲼𱋱𢊱𢴢𣯻𤖘𬓱𥳡𧷐,"[{'1020': {'same': ['愤', '坟', '㱵', '𬏷', '䩿', '䴅', '偾', '𪩸', '𰗺', '𣸣', '𰞻', '𫅗', '𪱥', '𰱟', '豮', '𮝷', '𫔁', '𱀡', '𱄀', '𬳟', '鲼', '𱋱', '𢊱', '𢴢', '𣯻', '𤖘', '𥳡', '𧷐'], 'different': ['喷', '贲', '䒈', '𬅫', '𰡞', '𬓱']}}]",1020,愤 坟 㱵 𬏷 䩿 䴅 偾 𪩸 𰗺 𣸣 𰞻 𫅗 𪱥 𰱟 豮 𮝷 𫔁 𱀡 𱄀 𬳟 鲼 𱋱 𢊱 𢴢 𣯻 𤖘 𥳡 𧷐,喷 贲 䒈 𬅫 𰡞 𬓱,28,6,0.8235294117647058,1020,愤 坟 㱵 𬏷 䩿 䴅 偾 𪩸 𰗺 𣸣 𰞻 𫅗 𪱥 𰱟 豮 𮝷 𫔁 𱀡 𱄀 𬳟 鲼 𱋱 𢊱 𢴢 𣯻 𤖘 𥳡 𧷐,喷 贲 䒈 𬅫 𰡞 𬓱,28,6,0.8235294117647058
feng,['405'],㖓 㛔㶻㸼䀱䏺䧏䴶埄夆峯峰捀桻浲烽琒𮶂艂莑蜂蠭逢锋韸髼𠉏𡨛𢈦𢌢𢓱𣇔𤖀𤶞𥍮𥭗𥹾𦜁𧋴𧒒𧚋𧧽𨡃𩊩𩡇𩷭𪔞𮙔𰓵𱋸,"[{'405': {'same': ['蜂', '锋', '峰', '逢', '烽', '㛔', '䀱', '夆', '峯', '捀', '桻', '浲', '琒', '𮶂', '艂', '蠭', '𡨛', '𢓱', '𤖀', '𥍮', '𦜁', '𩊩'], 'different': ['㖓', '㶻', '㸼', '䏺', '䧏', '䴶', '埄', '莑', '韸', '髼', '𠉏', '𢈦', '𢌢', '𣇔', '𤶞', '𥭗', '𥹾', '𧋴', '𧒒', '𧚋', '𧧽', '𨡃', '𩡇', '𩷭', '𪔞', '𮙔', '𰓵', '𱋸']}}]",405,蜂 锋 峰 逢 烽 㛔 䀱 夆 峯 捀 桻 浲 琒 𮶂 艂 蠭 𡨛 𢓱 𤖀 𥍮 𦜁 𩊩,㖓 㶻 㸼 䏺 䧏 䴶 埄 莑 韸 髼 𠉏 𢈦 𢌢 𣇔 𤶞 𥭗 𥹾 𧋴 𧒒 𧚋 𧧽 𨡃 𩡇 𩷭 𪔞 𮙔 𰓵 𱋸,22,28,0.44,405,蜂 锋 峰 逢 烽 㛔 䀱 夆 峯 捀 桻 浲 琒 𮶂 艂 蠭 𡨛 𢓱 𤖀 𥍮 𦜁 𩊩,㖓 㶻 㸼 䏺 䧏 䴶 埄 莑 韸 髼 𠉏 𢈦 𢌢 𣇔 𤶞 𥭗 𥹾 𧋴 𧒒 𧚋 𧧽 𨡃 𩡇 𩷭 𪔞 𮙔 𰓵 𱋸,22,28,0.44
fo,"['358', '1549']",仏 佛刜咈岪弗彿怫拂昲氟沸狒疿笰绋艴茀费髴𫚒𢒍|以台矣,"[{'358': {'same': ['仏'], 'different': ['费', '弗', '佛', '沸', '拂', '氟', '狒', '刜', '咈', '岪', '彿', '怫', '昲', '疿', '笰', '绋', '艴', '茀', '髴', '𫚒', '𢒍']}}, {'1549': {'same': ['仏'], 'different': ['以', '台', '矣']}}]",358,仏,费 弗 佛 沸 拂 氟 狒 刜 咈 岪 彿 怫 昲 疿 笰 绋 艴 茀 髴 𫚒 𢒍,1,21,0.045454545454545456,1549,仏,以 台 矣,1,3,0.25
fou,['362'],缶 缹缻𤽦,"[{'362': {'same': ['缶', '缹', '缻', '𤽦'], 'different': []}}]",362,缶 缹 缻 𤽦,,4,0,1.0,362,缶 缹 缻 𤽦,,4,0,1.0
fu,['392'],㤔 㾈䵾付咐坿府弣怤拊柎泭祔符𰬅胕苻蚹袝跗𰽮附驸鲋𢂆𤝔𩬙𱉜,"[{'392': {'same': ['付', '附', '府', '符', '咐', '跗', '驸', '㤔', '㾈', '䵾', '坿', '弣', '怤', '拊', '柎', '泭', '祔', '𰬅', '胕', '苻', '蚹', '袝', '𰽮', '鲋', '𢂆', '𤝔', '𩬙', '𱉜'], 'different': []}}]",392,付 附 府 符 咐 跗 驸 㤔 㾈 䵾 坿 弣 怤 拊 柎 泭 祔 𰬅 胕 苻 蚹 袝 𰽮 鲋 𢂆 𤝔 𩬙 𱉜,,28,0,1.0,392,付 附 府 符 咐 跗 驸 㤔 㾈 䵾 坿 弣 怤 拊 柎 泭 祔 𰬅 胕 苻 蚹 袝 𰽮 鲋 𢂆 𤝔 𩬙 𱉜,,28,0,1.0
ga,['552'],嘎 嘠戛戞,"[{'552': {'same': ['嘎', '嘠'], 'different': ['戛', '戞']}}]",552,嘎 嘠,戛 戞,2,2,0.5,552,嘎 嘠,戛 戞,2,2,0.5
gai,['490'],亥 侅刻劾咳垓姟孩晐核欬氦硋𰬓胲荄该赅阂陔颏𱃽骇骸,"[{'490': {'same': ['该', '赅', '侅', '垓', '姟', '晐', '𰬓', '荄', '陔'], 'different': ['孩', '刻', '核', '咳', '骸', '骇', '亥', '氦', '劾', '阂', '颏', '欬', '硋', '胲', '𱃽']}}]",490,该 赅 侅 垓 姟 晐 𰬓 荄 陔,孩 刻 核 咳 骸 骇 亥 氦 劾 阂 颏 欬 硋 胲 𱃽,9,15,0.375,490,该 赅 侅 垓 姟 晐 𰬓 荄 陔,孩 刻 核 咳 骸 骇 亥 氦 劾 阂 颏 欬 硋 胲 𱃽,9,15,0.375
gan,['650'],㤌 㽏䇞䲺咁坩姏嵌拑柑泔甘甛甜甝疳粓绀苷蚶邯酣钳黚𡶑𤮽𤯌𨳼𩠁𩢨,"[{'650': {'same': ['甘', '柑', '泔', '绀', '坩', '疳', '苷', '㤌', '㽏', '䇞', '䲺', '粓', '𡶑', '𤮽', '𤯌', '𨳼', '𩠁', '𩢨'], 'different': ['甜', '钳', '嵌', '酣', '蚶', '邯', '咁', '姏', '拑', '甛', '甝', '黚']}}]",650,甘 柑 泔 绀 坩 疳 苷 㤌 㽏 䇞 䲺 粓 𡶑 𤮽 𤯌 𨳼 𩠁 𩢨,甜 钳 嵌 酣 蚶 邯 咁 姏 拑 甛 甝 黚,18,12,0.6,650,甘 柑 泔 绀 坩 疳 苷 㤌 㽏 䇞 䲺 粓 𡶑 𤮽 𤯌 𨳼 𩠁 𩢨,甜 钳 嵌 酣 蚶 邯 咁 姏 拑 甛 甝 黚,18,12,0.6
gang,['656'],㟵 堽罡鎠𣗵𣦐𦋳,"[{'656': {'same': ['㟵', '堽', '罡', '鎠', '𣗵', '𣦐', '𦋳'], 'different': []}}]",656,㟵 堽 罡 鎠 𣗵 𣦐 𦋳,,7,0,1.0,656,㟵 堽 罡 鎠 𣗵 𣦐 𦋳,,7,0,1.0
gao,['637'],㙜 㪣㾸䐧䧚𩙮䮦䯨䯩䯪乔亳傐嗃塙嵩嵪搞敲暠槀槁歊毃毫滈熇犒皜碻禞稾稿篙缟翯膏蒿藁𰵿豪鄗镐髇高髙𱈋鶮𠞟𡠀𢞟𢲤𣉞𣩅𣯖𤌾𤚸𤠖𤧼𥏹𧎸𮌔,"[{'637': {'same': ['高', '搞', '稿', '膏', '镐', '藁', '槁', '篙', '缟', '髙', '㾸', '暠', '槀', '禞', '稾', '𢞟'], 'different': ['乔', '毫', '敲', '豪', '犒', '嵩', '歊', '蒿', '㙜', '㪣', '䐧', '䧚', '𩙮', '䮦', '䯨', '䯩', '䯪', '亳', '傐', '嗃', '塙', '嵪', '毃', '滈', '熇', '皜', '碻', '翯', '𰵿', '鄗', '髇', '𱈋', '鶮', '𠞟', '𡠀', '𢲤', '𣉞', '𣩅', '𣯖', '𤌾', '𤚸', '𤠖', '𤧼', '𥏹', '𧎸', '𮌔']}}]",637,高 搞 稿 膏 镐 藁 槁 篙 缟 髙 㾸 暠 槀 禞 稾 𢞟,乔 毫 敲 豪 犒 嵩 歊 蒿 㙜 㪣 䐧 䧚 𩙮 䮦 䯨 䯩 䯪 亳 傐 嗃 塙 嵪 毃 滈 熇 皜 碻 翯 𰵿 鄗 髇 𱈋 鶮 𠞟 𡠀 𢲤 𣉞 𣩅 𣯖 𤌾 𤚸 𤠖 𤧼 𥏹 𧎸 𮌔,16,46,0.25806451612903225,637,高 搞 稿 膏 镐 藁 槁 篙 缟 髙 㾸 暠 槀 禞 稾 𢞟,乔 毫 敲 豪 犒 嵩 歊 蒿 㙜 㪣 䐧 䧚 𩙮 䮦 䯨 䯩 䯪 亳 傐 嗃 塙 嵪 毃 滈 熇 皜 碻 翯 𰵿 鄗 髇 𱈋 鶮 𠞟 𡠀 𢲤 𣉞 𣩅 𣯖 𤌾 𤚸 𤠖 𤧼 𥏹 𧎸 𮌔,16,46,0.25806451612903225
ge,['646'],㓢 㤩㦴㪾䀩䅂䎊䞦䧄䶅佫各咎咯垎客峈峉恪挌搁敋格洛洜烙狢珞略畧硌笿络胳臵茖蛒衉袼觡𰵤貉赂路辂酪铬阁雒𱂥饹骆骼𱇪鴼𱉮𠗂𩊚,"[{'646': {'same': ['格', '各', '咯', '阁', '胳', '搁', '骼', '铬', '硌', '挌', '茖', '㦴', '䧄', '敋', '臵', '蛒', '袼', '觡'], 'different': ['路', '客', '洛', '络', '略', '酪', '赂', '骆', '咎', '烙', '恪', '貉', '珞', '㓢', '㤩', '㪾', '䀩', '䅂', '䎊', '䞦', '䶅', '佫', '垎', '峈', '峉', '洜', '狢', '畧', '笿', '衉', '𰵤', '辂', '雒', '𱂥', '饹', '𱇪', '鴼', '𱉮', '𠗂', '𩊚']}}]",646,格 各 咯 阁 胳 搁 骼 铬 硌 挌 茖 㦴 䧄 敋 臵 蛒 袼 觡,路 客 洛 络 略 酪 赂 骆 咎 烙 恪 貉 珞 㓢 㤩 㪾 䀩 䅂 䎊 䞦 䶅 佫 垎 峈 峉 洜 狢 畧 笿 衉 𰵤 辂 雒 𱂥 饹 𱇪 鴼 𱉮 𠗂 𩊚,18,40,0.3103448275862069,646,格 各 咯 阁 胳 搁 骼 铬 硌 挌 茖 㦴 䧄 敋 臵 蛒 袼 觡,路 客 洛 络 略 酪 赂 骆 咎 烙 恪 貉 珞 㓢 㤩 㪾 䀩 䅂 䎊 䞦 䶅 佫 垎 峈 峉 洜 狢 畧 笿 衉 𰵤 辂 雒 𱂥 饹 𱇪 鴼 𱉮 𠗂 𩊚,18,40,0.3103448275862069
gei,['509'],㧱 㽏匌合哈峇帢弇恰拾拿搿洽畣盒祫答给翕荅蛤袷跲郃铪鞈𱂆鸽龛𤙖𥩻,"[{'509': {'same': ['给'], 'different': ['拿', '合', '哈', '答', '盒', '拾', '恰', '鸽', '蛤', '洽', '铪', '龛', '㧱', '㽏', '匌', '峇', '帢', '弇', '搿', '畣', '祫', '翕', '荅', '袷', '跲', '郃', '鞈', '𱂆', '𤙖', '𥩻']}}]",509,给,拿 合 哈 答 盒 拾 恰 鸽 蛤 洽 铪 龛 㧱 㽏 匌 峇 帢 弇 搿 畣 祫 翕 荅 袷 跲 郃 鞈 𱂆 𤙖 𥩻,1,30,0.03225806451612903,509,给,拿 合 哈 答 盒 拾 恰 鸽 蛤 洽 铪 龛 㧱 㽏 匌 峇 帢 弇 搿 畣 祫 翕 荅 袷 跲 郃 鞈 𱂆 𤙖 𥩻,1,30,0.03225806451612903
gen,['575'],㸧 𫖱佷哏垠垦很恨恳根泿狠痕眼硍簋艮艰茛裉貇跟退银限龈𠛵𨒼,"[{'575': {'same': ['跟', '根', '艮', '哏', '𫖱', '茛', '𠛵', '𨒼'], 'different': ['很', '眼', '退', '恨', '银', '限', '痕', '狠', '艰', '恳', '龈', '垠', '垦', '佷', '㸧', '泿', '硍', '簋', '裉', '貇']}}]",575,跟 根 艮 哏 𫖱 茛 𠛵 𨒼,很 眼 退 恨 银 限 痕 狠 艰 恳 龈 垠 垦 佷 㸧 泿 硍 簋 裉 貇,8,20,0.2857142857142857,575,跟 根 艮 哏 𫖱 茛 𠛵 𨒼,很 眼 退 恨 银 限 痕 狠 艰 恳 龈 垠 垦 佷 㸧 泿 硍 簋 裉 貇,8,20,0.2857142857142857
geng,['578'],㹴 㾘䢚哽埂峺挭更梗浭硬稉粳绠莄郠骾鲠𠡣𢙾𦛟𩂼,"[{'578': {'same': ['更', '梗', '哽', '埂', '鲠', '㹴', '㾘', '䢚', '峺', '挭', '浭', '绠', '莄', '郠', '骾', '𠡣', '𢙾', '𦛟', '𩂼'], 'different': ['硬', '稉', '粳']}}]",578,更 梗 哽 埂 鲠 㹴 㾘 䢚 峺 挭 浭 绠 莄 郠 骾 𠡣 𢙾 𦛟 𩂼,硬 稉 粳,19,3,0.8636363636363636,578,更 梗 哽 埂 鲠 㹴 㾘 䢚 峺 挭 浭 绠 莄 郠 骾 𠡣 𢙾 𦛟 𩂼,硬 稉 粳,19,3,0.8636363636363636
gong,['684'],㓚 䞑仝功卬卭工巩扛攻杠汞江矼空红缸肛舡虹讧豇贡邛𮣲项𫚉𢀜𢖷𨊧,"[{'684': {'same': ['工', '功', '攻', '贡', '汞', '巩', '㓚', '𢀜', '𢖷', '𨊧'], 'different': ['空', '红', '项', '江', '缸', '虹', '扛', '肛', '杠', '讧', '䞑', '仝', '卬', '卭', '矼', '舡', '豇', '邛', '𮣲', '𫚉']}}]",684,工 功 攻 贡 汞 巩 㓚 𢀜 𢖷 𨊧,空 红 项 江 缸 虹 扛 肛 杠 讧 䞑 仝 卬 卭 矼 舡 豇 邛 𮣲 𫚉,10,20,0.3333333333333333,684,工 功 攻 贡 汞 巩 㓚 𢀜 𢖷 𨊧,空 红 项 江 缸 虹 扛 肛 杠 讧 䞑 仝 卬 卭 矼 舡 豇 邛 𮣲 𫚉,10,20,0.3333333333333333
gou,['673'],㣘 㲒㽛䑦𫎧䞤䣱䧁䪷𬲯𱌁佝出劬句呴坸够姁岣怐拘敂斪昫朐枸欨泃狗玽痀眗竘笱𰬆翑耇耈耉胊苟蚼袧𰵛豞豿跔𰺁邭钩雊驹𬶋鸲鼩齁𠛎𠣪𡊦𡱈𢂁𢎅𢩁𢼒𣧬𤖵𤘽𤫱𥘮𥩮𦊒𦍵𦐛𦕙𧯠𨈳𨒡𩉿𩐝𪀊𪓞𪓟𪚶𪵙𪿕𫌩𫞮𫠚𫲢𭴔𮍘𮳤𰽭𱌮,"[{'673': {'same': ['够', '狗', '钩', '苟', '枸', '佝', '㽛', '䑦', '𫎧', '𬲯', '坸', '岣', '玽', '笱', '耇', '耈', '耉', '蚼', '袧', '𰵛', '豿', '雊', '𠛎', '𤫱', '𰽭'], 'different': ['出', '句', '拘', '驹', '㣘', '㲒', '䞤', '䣱', '䧁', '䪷', '𱌁', '劬', '呴', '姁', '怐', '敂', '斪', '昫', '朐', '欨', '泃', '痀', '眗', '竘', '𰬆', '翑', '胊', '豞', '跔', '𰺁', '邭', '𬶋', '鸲', '鼩', '齁', '𠣪', '𡊦', '𡱈', '𢂁', '𢎅', '𢩁', '𢼒', '𣧬', '𤖵', '𤘽', '𥘮', '𥩮', '𦊒', '𦍵', '𦐛', '𦕙', '𧯠', '𨈳', '𨒡', '𩉿', '𩐝', '𪀊', '𪓞', '𪓟', '𪚶', '𪵙', '𪿕', '𫌩', '𫞮', '𫠚', '𫲢', '𭴔', '𮍘', '𮳤', '𱌮']}}]",673,够 狗 钩 苟 枸 佝 㽛 䑦 𫎧 𬲯 坸 岣 玽 笱 耇 耈 耉 蚼 袧 𰵛 豿 雊 𠛎 𤫱 𰽭,出 句 拘 驹 㣘 㲒 䞤 䣱 䧁 䪷 𱌁 劬 呴 姁 怐 敂 斪 昫 朐 欨 泃 痀 眗 竘 𰬆 翑 胊 豞 跔 𰺁 邭 𬶋 鸲 鼩 齁 𠣪 𡊦 𡱈 𢂁 𢎅 𢩁 𢼒 𣧬 𤖵 𤘽 𥘮 𥩮 𦊒 𦍵 𦐛 𦕙 𧯠 𨈳 𨒡 𩉿 𩐝 𪀊 𪓞 𪓟 𪚶 𪵙 𪿕 𫌩 𫞮 𫠚 𫲢 𭴔 𮍘 𮳤 𱌮,25,70,0.2631578947368421,673,够 狗 钩 苟 枸 佝 㽛 䑦 𫎧 𬲯 坸 岣 玽 笱 耇 耈 耉 蚼 袧 𰵛 豿 雊 𠛎 𤫱 𰽭,出 句 拘 驹 㣘 㲒 䞤 䣱 䧁 䪷 𱌁 劬 呴 姁 怐 敂 斪 昫 朐 欨 泃 痀 眗 竘 𰬆 翑 胊 豞 跔 𰺁 邭 𬶋 鸲 鼩 齁 𠣪 𡊦 𡱈 𢂁 𢎅 𢩁 𢼒 𣧬 𤖵 𤘽 𥘮 𥩮 𦊒 𦍵 𦐛 𦕙 𧯠 𨈳 𨒡 𩉿 𩐝 𪀊 𪓞 𪓟 𪚶 𪵙 𪿕 𫌩 𫞮 𫠚 𫲢 𭴔 𮍘 𮳤 𱌮,25,70,0.2631578947368421
gu,['735'],㾶 䮩傦尳搰榾滑猾𦈔蓇馉骨鹘𣨺𤚱𥠳𨪷,"[{'735': {'same': ['骨', '㾶', '䮩', '傦', '尳', '榾', '𦈔', '蓇', '馉', '鹘', '𣨺', '𤚱', '𥠳', '𨪷'], 'different': ['滑', '猾', '搰']}}]",735,骨 㾶 䮩 傦 尳 榾 𦈔 蓇 馉 鹘 𣨺 𤚱 𥠳 𨪷,滑 猾 搰,14,3,0.8235294117647058,735,骨 㾶 䮩 傦 尳 榾 𦈔 蓇 馉 鹘 𣨺 𤚱 𥠳 𨪷,滑 猾 搰,14,3,0.8235294117647058
gua,['736'],䒷 佸刮姡恬括栝桰活筈聒舌蛞话适铦𱃺髺鸹𠯑,"[{'736': {'same': ['刮', '聒', '䒷', '栝', '鸹', '𠯑'], 'different': ['话', '活', '适', '括', '舌', '恬', '佸', '姡', '桰', '筈', '蛞', '铦', '𱃺', '髺']}}]",736,刮 聒 䒷 栝 鸹 𠯑,话 活 适 括 舌 恬 佸 姡 桰 筈 蛞 铦 𱃺 髺,6,14,0.3,736,刮 聒 䒷 栝 鸹 𠯑,话 活 适 括 舌 恬 佸 姡 桰 筈 蛞 铦 𱃺 髺,6,14,0.3
guai,['702'],㾩 乖,"[{'702': {'same': ['乖', '㾩'], 'different': []}}]",702,乖 㾩,,2,0,1.0,702,乖 㾩,,2,0,1.0
guan,['760'],倌 婠官棺涫琯痯管绾舘菅逭𰾒馆,"[{'760': {'same': ['管', '官', '馆', '棺', '倌', '涫', '琯', '痯', '舘', '𰾒'], 'different': ['菅', '婠', '绾', '逭']}}]",760,管 官 馆 棺 倌 涫 琯 痯 舘 𰾒,菅 婠 绾 逭,10,4,0.7142857142857143,760,管 官 馆 棺 倌 涫 琯 痯 舘 𰾒,菅 婠 绾 逭,10,4,0.7142857142857143
guang,['749'],侊 光咣恍晃桄洸珖皝皩𬘢胱茪觥𨐈𰽵𩒚𪕓,"[{'749': {'same': ['光', '胱', '咣', '侊', '桄', '洸', '珖', '茪', '𨐈', '𰽵', '𩒚', '𪕓'], 'different': ['晃', '恍', '觥', '皝', '皩', '𬘢']}}]",749,光 胱 咣 侊 桄 洸 珖 茪 𨐈 𰽵 𩒚 𪕓,晃 恍 觥 皝 皩 𬘢,12,6,0.6666666666666666,749,光 胱 咣 侊 桄 洸 珖 茪 𨐈 𰽵 𩒚 𪕓,晃 恍 觥 皝 皩 𬘢,12,6,0.6666666666666666
gui,['959'],㧪 㩻䣀𰽺佹危垝姽尯峗峞恑桅洈祪脆觤诡跪陒𬱟𠱓𡧭𢂕𣢪𣧼𤿡𥍨𧻜𨠥𨴓𩊛𩗜𱉭,"[{'959': {'same': ['跪', '诡', '㧪', '䣀', '𰽺', '佹', '垝', '姽', '恑', '祪', '觤', '陒', '𠱓', '𡧭', '𣢪', '𤿡', '𥍨', '𧻜', '𩊛', '𱉭'], 'different': ['危', '脆', '桅', '㩻', '尯', '峗', '峞', '洈', '𬱟', '𢂕', '𣧼', '𨠥', '𨴓', '𩗜']}}]",959,跪 诡 㧪 䣀 𰽺 佹 垝 姽 恑 祪 觤 陒 𠱓 𡧭 𣢪 𤿡 𥍨 𧻜 𩊛 𱉭,危 脆 桅 㩻 尯 峗 峞 洈 𬱟 𢂕 𣧼 𨠥 𨴓 𩗜,20,14,0.5882352941176471,959,跪 诡 㧪 䣀 𰽺 佹 垝 姽 恑 祪 觤 陒 𠱓 𡧭 𣢪 𤿡 𥍨 𧻜 𩊛 𱉭,危 脆 桅 㩻 尯 峗 峞 洈 𬱟 𢂕 𣧼 𨠥 𨴓 𩗜,20,14,0.5882352941176471
gun,['728'],䃂 崐崑昆晜棍混焜琨绲蜫辊锟馄鲲鹍,"[{'728': {'same': ['棍', '辊', '䃂', '绲'], 'different': ['混', '昆', '馄', '鲲', '崐', '崑', '晜', '焜', '琨', '蜫', '锟', '鹍']}}]",728,棍 辊 䃂 绲,混 昆 馄 鲲 崐 崑 晜 焜 琨 蜫 锟 鹍,4,12,0.25,728,棍 辊 䃂 绲,混 昆 馄 鲲 崐 崑 晜 焜 琨 蜫 锟 鹍,4,12,0.25
guo,['747'],㗥 㨯㬑䁨墎廓椁漷郭霩鞹𡻙𡻳𣍉𤍪𥂣𥕖𦗒𦹐𨎎𪅪𰒈𱗳,"[{'747': {'same': ['郭', '椁', '墎', '𥂣', '𥕖', '𦗒'], 'different': ['廓', '㗥', '㨯', '㬑', '䁨', '漷', '霩', '鞹', '𡻙', '𡻳', '𣍉', '𤍪', '𦹐', '𨎎', '𪅪', '𰒈', '𱗳']}}]",747,郭 椁 墎 𥂣 𥕖 𦗒,廓 㗥 㨯 㬑 䁨 漷 霩 鞹 𡻙 𡻳 𣍉 𤍪 𦹐 𨎎 𪅪 𰒈 𱗳,6,17,0.2608695652173913,747,郭 椁 墎 𥂣 𥕖 𦗒,廓 㗥 㨯 㬑 䁨 漷 霩 鞹 𡻙 𡻳 𣍉 𤍪 𦹐 𨎎 𪅪 𰒈 𱗳,6,17,0.2608695652173913
ha,['509'],㧱 㽏匌合哈峇帢弇恰拾拿搿洽畣盒祫答给翕荅蛤袷跲郃铪鞈𱂆鸽龛𤙖𥩻,"[{'509': {'same': ['哈', '蛤', '铪'], 'different': ['给', '拿', '合', '答', '盒', '拾', '恰', '鸽', '洽', '龛', '㧱', '㽏', '匌', '峇', '帢', '弇', '搿', '畣', '祫', '翕', '荅', '袷', '跲', '郃', '鞈', '𱂆', '𤙖', '𥩻']}}]",509,哈 蛤 铪,给 拿 合 答 盒 拾 恰 鸽 洽 龛 㧱 㽏 匌 峇 帢 弇 搿 畣 祫 翕 荅 袷 跲 郃 鞈 𱂆 𤙖 𥩻,3,28,0.0967741935483871,509,哈 蛤 铪,给 拿 合 答 盒 拾 恰 鸽 洽 龛 㧱 㽏 匌 峇 帢 弇 搿 畣 祫 翕 荅 袷 跲 郃 鞈 𱂆 𤙖 𥩻,3,28,0.0967741935483871
hai,['490'],亥 侅刻劾咳垓姟孩晐核欬氦硋𰬓胲荄该赅阂陔颏𱃽骇骸,"[{'490': {'same': ['孩', '咳', '骸', '骇', '亥', '氦', '胲'], 'different': ['该', '刻', '核', '劾', '阂', '赅', '颏', '侅', '垓', '姟', '晐', '欬', '硋', '𰬓', '荄', '陔', '𱃽']}}]",490,孩 咳 骸 骇 亥 氦 胲,该 刻 核 劾 阂 赅 颏 侅 垓 姟 晐 欬 硋 𰬓 荄 陔 𱃽,7,17,0.2916666666666667,490,孩 咳 骸 骇 亥 氦 胲,该 刻 核 劾 阂 赅 颏 侅 垓 姟 晐 欬 硋 𰬓 荄 陔 𱃽,7,17,0.2916666666666667
han,['497'],㟏 㟔㤷䣻含唅梒浛焓琀筨莟谽𰾅颔馠𣢺𤙣𥆡𧹣𩈣,"[{'497': {'same': ['含', '颔', '㟏', '㟔', '㤷', '䣻', '唅', '梒', '浛', '焓', '琀', '筨', '莟', '谽', '𰾅', '馠', '𣢺', '𥆡', '𧹣', '𩈣'], 'different': ['𤙣']}}]",497,含 颔 㟏 㟔 㤷 䣻 唅 梒 浛 焓 琀 筨 莟 谽 𰾅 馠 𣢺 𥆡 𧹣 𩈣,𤙣,20,1,0.9523809523809523,497,含 颔 㟏 㟔 㤷 䣻 唅 梒 浛 焓 琀 筨 莟 谽 𰾅 馠 𣢺 𥆡 𧹣 𩈣,𤙣,20,1,0.9523809523809523
